evaluations raw_y
31 5.0000000000
37 7.0000000000
60 8.0000000000
754 11.0000000000
13824 14.0000000000
50000 0.0000000000
evaluations raw_y
1 1.0000000000
15 3.0000000000
18 6.0000000000
394 9.0000000000
2942 14.0000000000
50000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
14 3.0000000000
27 4.0000000000
94 5.0000000000
136 7.0000000000
372 8.0000000000
502 9.0000000000
1183 10.0000000000
1497 13.0000000000
9905 14.0000000000
37316 20.0000000000
50000 7.0000000000
evaluations raw_y
1 2.0000000000
3 3.0000000000
32 5.0000000000
251 6.0000000000
468 7.0000000000
611 9.0000000000
894 12.0000000000
22856 14.0000000000
32375 18.0000000000
50000 0.0000000000
evaluations raw_y
1 1.0000000000
10 4.0000000000
69 7.0000000000
245 9.0000000000
287 10.0000000000
3204 13.0000000000
10146 16.0000000000
43788 18.0000000000
50000 0.0000000000
evaluations raw_y
1 1.0000000000
9 3.0000000000
13 4.0000000000
15 5.0000000000
245 6.0000000000
247 7.0000000000
913 8.0000000000
1523 9.0000000000
1802 11.0000000000
4128 14.0000000000
50000 0.0000000000
evaluations raw_y
1 3.0000000000
21 5.0000000000
82 8.0000000000
157 11.0000000000
334 13.0000000000
11348 14.0000000000
26853 15.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
7 3.0000000000
10 4.0000000000
47 5.0000000000
92 8.0000000000
95 9.0000000000
652 10.0000000000
1438 12.0000000000
8964 13.0000000000
32269 14.0000000000
46935 16.0000000000
50000 5.0000000000
