evaluations raw_y
6 60.0000000000
168 61.0000000000
233 66.0000000000
955 68.0000000000
3425 69.0000000000
5180 70.0000000000
11648 73.0000000000
50000 49.0000000000
evaluations raw_y
1 45.0000000000
3 55.0000000000
4 56.0000000000
41 57.0000000000
59 58.0000000000
78 62.0000000000
337 63.0000000000
813 66.0000000000
8489 68.0000000000
8995 69.0000000000
16720 71.0000000000
24311 72.0000000000
50000 48.0000000000
evaluations raw_y
1 55.0000000000
21 57.0000000000
33 59.0000000000
101 61.0000000000
176 62.0000000000
196 65.0000000000
261 68.0000000000
11463 69.0000000000
17680 71.0000000000
50000 58.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
4 52.0000000000
5 55.0000000000
10 59.0000000000
22 63.0000000000
186 65.0000000000
2238 67.0000000000
5370 69.0000000000
30573 73.0000000000
50000 55.0000000000
